"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","IP","W%","QS","BS","WP","HB","IBB","1B","2B","3B","HR","HR/9","K/9","BB/9","BR/9","BAA"
"Brad Boxberger","MIA","RP","133","FA","32","","108.83","1.81","60","53.1",".300","0","8","3","1","4","27","7","1","9","1.52","11.98","5.40","12.99",".221"
"Tanner Roark","TOR","SP","134","MBC","34","","108.33","3.49","31","180.1",".375","17","0","5","10","3","122","32","3","24","1.20","7.29","2.50","12.03",".262"
"Tyler Clippard","MIN","RP","135","FA","35","","106.67","1.46","73","68.2",".571","0","6","7","2","0","30","14","0","13","1.70","11.14","3.01","10.75",".223"
"Trevor Cahill","SF","SP","136","FA","32","","106","5.05","21","110",".636","8","0","8","5","0","60","20","2","8","0.65","8.18","3.35","11.13",".227"
"Blake Parker","PHI","RP","137","FA","35","","105.83","1.58","67","66.1",".667","0","3","8","3","1","39","11","1","12","1.63","9.50","2.58","11.53",".249"
"Carl Edwards Jr.","SEA","RP","138","FA","29","","105.5","1.82","58","52",".600","0","2","4","0","1","25","8","1","2","0.35","11.60","5.54","11.77",".190"
"Gio Gonzalez","CHW","SP","139","FA","35","","104.5","3.27","32","171",".476","11","0","5","2","2","109","40","1","17","0.89","7.79","4.21","13.11",".256"
"Ken Giles","TOR","RP","140","Luka","30","","104.33","1.9","55","50.1",".000","0","0","2","1","0","35","11","2","6","1.07","9.48","1.25","11.09",".266"
"Kyle Crick","PIT","RP","141","FA","28","","103.83","1.62","64","60.1",".600","0","1","9","7","3","35","7","0","3","0.45","9.70","3.43","11.19",".202"
"Junior Guerra","(N/A)","RP","142","FA","35","","103","3.32","31","141",".400","10","0","11","4","0","90","33","1","19","1.21","8.68","3.51","12.89",".264"
"Joe Jimenez","DET","RP","143","FA","25","","102.67","1.51","68","62.2",".556","0","4","3","3","3","33","14","1","5","0.72","11.20","3.16","11.20",".222"
"Reyes Moronta","SF","RP","144","FA","27","","102.5","1.49","69","65",".714","0","5","5","0","4","24","6","0","4","0.55","10.94","5.12","9.83",".154"
"Chaz Roe","TB","RP","145","FA","34","","101.83","1.67","61","50.1",".250","0","1","1","8","1","22","7","0","6","1.07","9.48","2.86","10.55",".197"
"Shane Greene","ATL","RP","146","FA","32","","101.33","1.54","66","63.1",".400","0","6","3","3","1","46","6","4","12","1.71","9.24","2.70","12.79",".268"
"Lance Lynn","CHW","SP","147","Ass","33","","100.67","3.25","31","156.2",".500","10","0","5","6","3","114","32","3","14","0.80","9.25","4.37","14.07",".265"
"Tyson Ross","(N/A)","SP","148","FA","33","","100.67","3.25","31","149.2",".471","12","0","4","7","4","83","28","4","17","1.02","7.34","3.73","12.09",".237"
"Robert Gsellman","NYM","RP","149","FA","27","","100.5","1.48","68","80",".667","0","6","1","5","6","53","14","1","8","0.90","7.88","3.15","12.26",".250"
"Tyler Glasnow","TB","SP","150","Ass","27","","100.17","2.23","45","111.2",".222","4","0","12","4","3","55","18","1","15","1.21","10.96","4.27","11.77",".217"
"Mike Leake","ARI","SP","151","FA","33","","100.17","3.23","31","185.2",".500","18","0","2","6","3","135","44","5","23","1.11","5.77","1.65","11.97",".280"
"Dylan Bundy","LAA","SP","152","NCNF","28","","99.67","3.22","31","171.2",".333","15","0","6","6","1","104","39","4","41","2.15","9.65","2.83","13.00",".274"
"Ivan Nova","DET","SP","153","FA","33","","99.5","3.43","29","161",".500","14","0","9","4","4","106","34","5","26","1.45","6.37","1.96","11.74",".268"
"Scott Oberg","COL","RP","154","FA","30","","98.67","1.76","56","58.2",".889","0","4","3","3","0","33","8","0","4","0.61","8.74","1.84","9.20",".213"
"Nathan Eovaldi","BOS","SP","155","NT 13","30","","98.5","4.48","22","111",".462","8","0","4","3","1","69","19","3","14","1.14","8.19","1.62","10.38",".246"
"Roberto Osuna","HOU","RP","156","NT 13","25","","98.5","2.59","38","38",".500","0","1","3","4","0","25","7","0","1","0.24","7.58","0.95","9.71",".234"
"Brad Peacock","HOU","RP","157","FA","32","","98","1.61","61","65",".375","0","3","5","3","0","29","14","2","11","1.52","13.29","2.77","10.94",".226"
"Brandon Morrow","LAD","RP","158","FA","36","","97.17","2.78","35","30.2","0","0","2","1","1","0","21","1","0","2","0.59","9.10","2.64","9.98",".214"
"Michael Wacha","NYM","SP","159","FA","29","","96.33","6.42","15","84.1",".800","7","0","2","2","0","48","11","0","9","0.96","7.58","3.84","11.31",".221"
"Freddy Peralta","MIL","SP","160","FA","24","","96.33","6.02","16","78.1",".600","6","0","3","4","1","25","14","2","8","0.92","11.03","4.60","10.69",".178"
"James Shields","(N/A)","SP","161","FA","38","","95.67","2.81","34","204.2",".304","19","0","11","9","0","113","41","2","34","1.50","6.77","3.43","12.18",".245"
"Heath Hembree","PHI","RP","162","FA","31","","93.5","1.4","67","60",".800","0","3","4","1","1","32","9","2","10","1.50","11.40","4.05","12.15",".233"
"Justin Miller","CIN","RP","163","FA","33","","93.33","1.83","51","52.1",".875","0","1","1","2","1","24","7","1","10","1.72","10.32","2.92","10.49",".218"
"Jace Fry","CHW","RP","164","FA","27","","92.83","1.57","59","51.1",".400","0","1","5","1","0","27","5","1","4","0.70","12.27","3.51","10.17",".194"
"Drew Steckenrider","MIA","RP","165","FA","29","","92.67","1.31","71","64.2",".500","0","5","0","2","5","40","6","2","7","0.97","10.30","3.76","11.69",".227"
"Tommy Hunter","PHI","RP","166","FA","34","","92","1.42","65","64",".556","0","2","1","3","1","36","20","3","6","0.84","7.17","2.11","11.67",".260"
"Justin Anderson","(N/A)","RP","167","FA","28","","91.83","1.61","57","55.1",".500","0","2","9","4","3","36","3","0","3","0.49","10.90","6.51","13.99",".214"
"Ryne Stanek","(N/A)","RP","168","FA","29","","90.83","1.54","59","66.1",".400","0","0","5","1","1","27","9","1","8","1.09","10.99","3.66","9.90",".191"
"Jordan Hicks","STL","RP","169","MBC","24","","89.17","1.22","73","77.2",".429","0","7","9","8","2","50","6","1","2","0.23","8.11","5.21","12.98",".208"
